
---------- Begin Simulation Statistics ----------
system.cpu.issuedInstType_1::IntAlu          12835319     71.00%     71.02% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::IntMult           262961      1.45%     72.48% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::IntDiv              1494      0.01%     72.48% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::FloatAdd             924      0.01%     72.49% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::FloatCmp               0      0.00%     72.49% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::FloatCvt               0      0.00%     72.49% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::FloatMult              0      0.00%     72.49% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::FloatMultAcc            0      0.00%     72.49% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::FloatDiv               0      0.00%     72.49% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::FloatMisc              0      0.00%     72.49% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::FloatSqrt              0      0.00%     72.49% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdAdd              432      0.00%     72.49% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdAddAcc             0      0.00%     72.49% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdAlu             1609      0.01%     72.50% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdCmp                0      0.00%     72.50% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdCvt             1051      0.01%     72.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdMisc            1039      0.01%     72.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdMult               0      0.00%     72.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdMultAcc            0      0.00%     72.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdMatMultAcc            0      0.00%     72.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdShift            537      0.00%     72.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdShiftAcc            0      0.00%     72.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdDiv                0      0.00%     72.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdSqrt               0      0.00%     72.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdFloatAdd            0      0.00%     72.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdFloatAlu            0      0.00%     72.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdFloatCmp            0      0.00%     72.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdFloatCvt            0      0.00%     72.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdFloatDiv            0      0.00%     72.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdFloatMisc            0      0.00%     72.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdFloatMult            0      0.00%     72.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdFloatMultAcc            0      0.00%     72.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdFloatMatMultAcc            0      0.00%     72.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdFloatSqrt            0      0.00%     72.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdReduceAdd            0      0.00%     72.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdReduceAlu            0      0.00%     72.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdReduceCmp            0      0.00%     72.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdFloatReduceAdd            0      0.00%     72.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdFloatReduceCmp            0      0.00%     72.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdAes                0      0.00%     72.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdAesMix             0      0.00%     72.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdSha1Hash            0      0.00%     72.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_1::SimdSha1Hash2            0      0.00%     72.51% # Number of instructions issued per FU type, per thread (Count)
